Country,Clicks,Impressions,CTR,Position
Switzerland,21,5900,0.36%,54.71
France,2,121,1.65%,30.58
Netherlands,1,24,4.17%,32.88
United States,0,239,0%,35.67
Brazil,0,33,0%,23.76
United Kingdom,0,9,0%,36.33
Germany,0,5,0%,35
Congo - Kinshasa,0,4,0%,10.5
Canada,0,3,0%,6.67
Tunisia,0,3,0%,22.33
India,0,3,0%,40.67
Belgium,0,2,0%,8
Morocco,0,2,0%,94.5
United Arab Emirates,0,1,0%,1
Uzbekistan,0,1,0%,1
Vietnam,0,1,0%,1
Côte d’Ivoire,0,1,0%,9
French Polynesia,0,1,0%,9
Kazakhstan,0,1,0%,10
Réunion,0,1,0%,10
Spain,0,1,0%,12
Romania,0,1,0%,33
Indonesia,0,1,0%,37
Colombia,0,1,0%,48
South Korea,0,1,0%,54
Sweden,0,1,0%,58
