Date,Clicks,Impressions,CTR,Position
2025-10-30,0,78,0%,41.54
2025-10-29,1,72,1.39%,39.32
2025-10-28,0,74,0%,34.66
2025-10-27,0,69,0%,40.94
2025-10-26,0,70,0%,37.81
2025-10-25,0,53,0%,32.77
2025-10-24,0,63,0%,39.21
2025-10-23,0,66,0%,41.5
2025-10-22,2,79,2.53%,29.35
2025-10-21,1,59,1.69%,38.31
2025-10-20,0,73,0%,30.88
2025-10-19,0,25,0%,44
2025-10-18,0,32,0%,44.62
2025-10-17,0,27,0%,47.56
2025-10-16,1,34,2.94%,45.91
2025-10-15,0,33,0%,37.18
2025-10-14,0,36,0%,39.5
2025-10-13,0,35,0%,51.63
2025-10-12,0,36,0%,52
2025-10-11,0,31,0%,46.1
2025-10-10,0,28,0%,47.39
2025-10-09,0,31,0%,53.23
2025-10-08,0,35,0%,46.11
2025-10-07,1,26,3.85%,40.35
2025-10-06,1,35,2.86%,44.51
2025-10-05,0,27,0%,50.44
2025-10-04,0,35,0%,40.09
2025-10-03,0,25,0%,47.72
2025-10-02,0,30,0%,58
2025-10-01,1,25,4%,47.12
2025-09-30,0,39,0%,53.38
2025-09-29,1,47,2.13%,49.64
2025-09-28,0,26,0%,49.54
2025-09-27,0,40,0%,42.17
2025-09-26,0,31,0%,49.61
2025-09-25,0,27,0%,58.81
2025-09-24,0,27,0%,60
2025-09-23,0,36,0%,39.17
2025-09-22,0,26,0%,50.96
2025-09-21,0,25,0%,57
2025-09-20,0,31,0%,45.48
2025-09-19,0,20,0%,46.2
2025-09-18,1,16,6.25%,58.81
2025-09-17,0,26,0%,52.12
2025-09-16,2,33,6.06%,46.36
2025-09-15,1,38,2.63%,62.16
2025-09-14,0,25,0%,66
2025-09-13,0,29,0%,37.93
2025-09-12,0,45,0%,60.91
2025-09-11,0,58,0%,59.21
2025-09-10,1,92,1.09%,59.41
2025-09-09,0,110,0%,57.69
2025-09-08,0,105,0%,59.01
2025-09-07,0,99,0%,56.68
2025-09-06,0,96,0%,56.57
2025-09-05,0,91,0%,58.99
2025-09-04,0,111,0%,56.41
2025-09-03,0,96,0%,58.71
2025-09-02,0,113,0%,59.48
2025-09-01,0,101,0%,59.18
2025-08-31,0,99,0%,57.44
2025-08-30,0,94,0%,54.4
2025-08-29,0,91,0%,56.93
2025-08-28,0,100,0%,57.9
2025-08-27,0,107,0%,55.97
2025-08-26,0,95,0%,57.67
2025-08-25,1,102,0.98%,57.02
2025-08-24,0,96,0%,56.65
2025-08-23,0,98,0%,54.79
2025-08-22,1,84,1.19%,57.13
2025-08-21,0,101,0%,54.47
2025-08-20,0,107,0%,53.95
2025-08-19,3,114,2.63%,55.29
2025-08-18,2,113,1.77%,55.66
2025-08-17,0,98,0%,57.65
2025-08-16,0,104,0%,52.88
2025-08-15,0,151,0%,60.88
2025-08-14,0,105,0%,54.94
2025-08-13,1,101,0.99%,56.73
2025-08-12,1,114,0.88%,57.61
2025-08-11,1,118,0.85%,58.53
2025-08-10,0,82,0%,57.4
2025-08-09,0,101,0%,54.15
2025-08-08,0,100,0%,56.8
2025-08-07,0,97,0%,57.02
2025-08-06,0,108,0%,56.39
2025-08-05,0,113,0%,56.07
2025-08-04,0,110,0%,57.69
2025-08-03,0,112,0%,57.54
2025-08-02,0,125,0%,55.96
2025-08-01,0,116,0%,55.45
2025-07-31,0,104,0%,58.45
